BRANCHEKODE;NACE_TITEL_DK
01.11.00;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø
01.12.00;Dyrkning af ris
01.13.00;Dyrkning af grøntsager og meloner, rødder og rodknolde
01.14.00;Dyrkning af sukkerrør
01.15.00;Dyrkning af tobak
01.16.00;Dyrkning af tekstilplanter
01.19.00;Dyrkning af andre etårige afgrøder
01.21.00;Dyrkning af druer
01.22.00;Dyrkning af tropiske og subtropiske frugter
01.23.00;Dyrkning af citrusfrugter
01.24.00;Dyrkning af kernefrugter og stenfrugter
01.25.00;Dyrkning af andre træfrugter, bær og nødder
01.26.00;Dyrkning af olieholdige frugter
01.27.00;Dyrkning af planter til fremstilling af drikkevarer
01.28.00;Dyrkning af krydderiplanter, aromaplanter og lægeplanter
01.29.00;Dyrkning af andre flerårige afgrøder
01.30.00;Planteformering
01.41.00;Avl af malkekvæg
01.42.00;Avl af andet kvæg og bøfler
01.43.00;Avl af heste og dyr af hestefamilien
01.44.00;Avl af kameler og dyr af kamelfamilien
01.45.00;Avl af får og geder
01.46.10;Avl af smågrise
01.46.20;Produktion af slagtesvin
01.47.00;Fjerkræavl
01.48.00;Avl af andre dyr
01.50.00;Blandet landbrugsdrift
01.61.00;Støtteaktiviteter i forbindelse med planteavl
01.62.00;Støtteaktiviteter i forbindelse med husdyravl
01.63.00;Forarbejdning af afgrøder efter høst af frø/sædekorn til udsæd
01.70.00;Jagt, fældefangst og serviceydelser i forbindelse hermed
02.10.00;Dyrkning af træer og andre skovbrugsaktiviteter
02.20.00;Skovning
02.30.00;Indsamling af vildtvoksende forstmateriale, undtagen træer
02.40.00;Støtteaktiviteter i forbindelse med skovbrug
03.11.00;Havfiskeri
03.12.00;Ferskvandsfiskeri
03.21.00;Havbrug
03.22.00;Ferskvandsbrug
03.30.00;Støtteaktiviteter i forbindelse med fiskeri og akvakultur
05.10.00;Indvinding af stenkul
05.20.00;Indvinding af brunkul
06.10.00;Indvinding af råolie
06.20.00;Indvinding af naturgas
07.10.00;Brydning af jernmalm
07.21.00;Brydning af uran- og thoriummalme
07.29.00;Brydning af andre ikke-jernholdige metalmalme
08.11.00;Brydning af pyntesten, kalksten, gips, skifer mv.
08.12.00;Grus- og sandgravning og indvinding af ler og kaolin
08.91.00;Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer
08.92.00;Indvinding af tørv
08.93.00;Saltindvinding
08.99.00;Anden råstofindvinding i.a.n.
09.10.00;Støtteaktiviteter i forbindelse med indvinding af råolie og naturgas
09.90.00;Støtteaktiviteter i forbindelse med anden råstofindvinding
10.11.10;Forarbejdning af svinekød
10.11.90;Forarbejdning af andet kød
10.12.00;Forarbejdning og konservering af fjerkrækød
10.13.00;Fremstilling af kød- og fjerkrækødprodukter
10.20.10;Fremstilling af fiskemel
10.20.20;Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel
10.31.00;Forarbejdning og konservering af kartofler
10.32.00;Fremstilling af frugt- og grøntsagssaft
10.39.00;Anden forarbejdning og konservering af frugt og grøntsager
10.41.00;Fremstilling af olier og fedtstoffer
10.42.00;Fremstilling af margarine o.lign. spiselige fedtstoffer
10.51.00;Fremstilling af mejeriprodukter
10.52.00;Fremstilling af konsumis
10.61.00;Fremstilling af mølleriprodukter
10.62.00;Fremstilling af stivelse og stivelsesprodukter
10.71.10;Industriel fremstilling af brød og kager mv.
10.71.20;Fremstilling af friske bageriprodukter
10.72.00;Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.
10.73.00;Fremstilling af dejprodukter
10.81.00;Fremstilling af sukker
10.82.00;Fremstilling af kakao, chokolade og sukkervarer
10.83.00;Forarbejdning af te og kaffe
10.84.00;Fremstilling af smagspræparater og krydderier
10.85.00;Fremstilling af færdigretter
10.86.00;Fremstilling af homogeniserede produkter og diætmad
10.89.00;Fremstilling af andre fødevarer i.a.n.
10.91.00;Fremstilling af færdige foderblandinger til landbrugsdyr
10.92.00;Fremstilling af færdige foderblandinger til kæledyr
11.01.00;Destillation, rektifikation og blanding af alkohol
11.02.00;Fremstilling af vin af druer
11.03.00;Fremstilling af cider og andre gærede drikkevarer af frugt
11.04.00;Fremstilling af andre ikke-destillerede gærede drikkevarer
11.05.00;Fremstilling af øl
11.06.00;Fremstilling af malt
11.07.00;Fremstilling af læskedrikke og vand på flaske
12.00.00;Fremstilling af tobaksvarer
13.10.00;Forbehandling og spinding af tekstilfibre
13.20.00;Vævning af tekstiler
13.30.00;Efterbehandling af tekstiler
13.91.00;Fremstilling af trikotagestoffer
13.92.00;Fremstilling af tekstiler til husholdningsbrug og færdige boligtekstiler
13.93.00;Fremstilling af gulvtæpper og -måtter
13.94.00;Fremstilling af reb, tovværk, sejlgarn og netstoffer
13.95.00;Fremstilling af fiberdug og varer af fiberdug
13.96.00;Fremstilling af andre tekniske og industrielle tekstiler
13.99.00;Fremstilling af andre tekstiler i.a.n.
14.10.00;Fremstilling af strikkede og hæklede beklædningsartikler
14.21.00;Fremstilling af yderbeklædning
14.22.00;Fremstilling af underbeklædning
14.23.00;Fremstilling af arbejdsbeklædning
14.24.00;Fremstilling af beklædningsartikler af læder og pelsskind
14.29.00;Fremstilling af andre beklædningsartikler samt tilbehør i.a.n.
15.11.00;Garvning, beredning og farvning af læder og pelsskind
15.12.00;Fremstilling af tasker, kufferter, sadelmagervarer mv., uanset materialets art
15.20.00;Fremstilling af fodtøj
16.11.00;Udsavning og høvling af træ
16.12.00;Forarbejdning og færdigbearbejdning af træ
16.21.00;Fremstilling af finerplader og træbaserede plader
16.22.00;Fremstilling af sammensatte parketstave
16.23.00;Fremstilling af bygningstømmer og snedkeriartikler i øvrigt
16.24.00;Fremstilling af træemballage
16.25.00;Fremstilling af døre og vinduer af træ
16.26.00;Fremstilling af fast brændsel på basis af vegetabilsk biomasse
16.27.00;Færdigbearbejdning af trævarer
16.28.00;Fremstilling af andre trævarer og varer af kork, strå og flettematerialer
17.11.00;Fremstilling af papirmasse
17.12.00;Fremstilling af papir og pap
17.21.00;Fremstilling af bølgepap, pap og emballage af papir og pap
17.22.00;Fremstilling af husholdningsartikler og hygiejneartikler samt toiletartikler af papir og pap
17.23.00;Fremstilling af kontorartikler af papir
17.24.00;Fremstilling af tapet
17.25.00;Fremstilling af andre papir- og papvarer
18.11.00;Trykning af dagblade
18.12.00;Anden trykning
18.13.00;Prepress- og premedia-arbejde
18.14.00;Bogbinding og lignende serviceydelser
18.20.00;Reproduktion af indspillede medier
19.10.00;Fremstilling af koksovnsprodukter
19.20.00;Fremstilling af raffinerede mineralolieprodukter og fossile brændstoffer
20.11.00;Fremstilling af industrigasser
20.12.00;Fremstilling af farvestoffer og pigmenter
20.13.00;Fremstilling af andre uorganiske basiskemikalier
20.14.00;Fremstilling af andre organiske basiskemikalier
20.15.00;Fremstilling af gødningsstoffer og nitrogenprodukter
20.16.00;Fremstilling af plast i ubearbejdet form
20.17.00;Fremstilling af syntetisk gummi i ubearbejdet form
20.20.00;Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter
20.30.00;Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer
20.41.00;Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler
20.42.00;Fremstilling af parfume, hårshampoo, tandpasta mv.
20.51.00;Fremstilling af flydende biobrændstoffer
20.59.00;Fremstilling af andre kemiske produkter i.a.n.
20.60.00;Fremstilling af kemofibre
21.10.00;Fremstilling af farmaceutiske råvarer
21.20.00;Fremstilling af farmaceutiske præparater
22.11.00;Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger
22.12.00;Fremstilling af andre gummiprodukter
22.21.00;Fremstilling af plader, ark, rør og slanger samt profiler af plast
22.22.00;Fremstilling af plastemballage
22.23.00;Fremstilling af døre og vinduer af plast
22.24.00;Fremstilling af bygningsartikler af plast
22.25.00;Forarbejdning og færdigbehandling af plastprodukter
22.26.00;Fremstilling af andre plastprodukter
23.11.00;Fremstilling af planglas
23.12.00;Formning og forarbejdning af planglas
23.13.00;Fremstilling af flasker, drikkeglas mv.
23.14.00;Fremstilling af glasfiber
23.15.00;Fremstilling og bearbejdning af andet glas, herunder teknisk glas
23.20.00;Fremstilling af ildfaste produkter
23.31.00;Fremstilling af keramiske teglsten og gulvfliser
23.32.00;Fremstilling af mursten, teglsten og byggematerialer af brændt ler
23.41.00;Fremstilling af keramiske husholdningsartikler og pyntegenstande
23.42.00;Fremstilling af keramiske sanitetsartikler
23.43.00;Fremstilling af keramiske isolatorer og isoleringsdele
23.44.00;Fremstilling af andre keramiske produkter til teknisk brug
23.45.00;Fremstilling af andre keramiske produkter
23.51.00;Fremstilling af cement
23.52.00;Fremstilling af kalk og gips
23.61.00;Fremstilling af byggematerialer af beton
23.62.00;Fremstilling af byggematerialer af gips
23.63.00;Fremstilling af færdigblandet beton
23.64.00;Fremstilling af mørtel
23.65.00;Fremstilling af fibercement
23.66.00;Fremstilling af andre produkter af beton, cement og gips
23.70.00;Tilhugning, tilskæring og færdigbearbejdning af sten
23.91.00;Fremstilling af slibemidler
23.99.10;Fremstilling af asfalt og tagpap
23.99.90;Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap
24.10.00;Fremstilling af råjern og råstål samt jernlegeringer
24.20.00;Fremstilling af rør, hule profiler og tilhørende fittings af stål
24.31.00;Fremstilling af stænger ved koldtrækning
24.32.00;Fremstilling af stålbånd ved koldvalsning
24.33.00;Koldbehandling
24.34.00;Fremstilling af tråd ved koldtrækning
24.41.00;Fremstilling af ædelmetaller
24.42.00;Fremstilling af aluminium
24.43.00;Fremstilling af bly, zink og tin
24.44.00;Fremstilling af kobber
24.45.00;Anden fremstilling af ikke-jernholdige metaller
24.46.00;Oparbejdning af nukleart brændsel
24.51.00;Støbning af jernprodukter
24.52.00;Støbning af stålprodukter
24.53.00;Støbning af letmetalprodukter
24.54.00;Støbning af andre ikke-jernholdige metalprodukter
25.11.00;Fremstilling af metalkonstruktioner og dele heraf
25.12.00;Fremstilling af døre og vinduer af metal
25.21.00;Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg
25.22.00;Fremstilling af andre tanke og beholdere af metal
25.30.00;Fremstilling af våben og ammunition
25.40.00;Smedning og valsning af metal samt pulvermetallurgi
25.51.00;Overfladebehandling af metal
25.52.00;Varmebehandling af metal
25.53.00;Maskinforarbejdning af metal
25.61.00;Fremstilling af bestik, skære- og klipperedskaber
25.62.00;Fremstilling af låse og hængsler
25.63.00;Fremstilling af håndværktøj
25.91.00;Fremstilling af metaltønder og lignende beholdere
25.92.00;Fremstilling af letmetalemballage
25.93.00;Fremstilling af trådvarer, kæder og fjedre
25.94.00;Fremstilling af lukkeanordninger, bolte, skruer og møtrikker
25.99.00;Fremstilling af andre færdige metalprodukter i.a.n.
26.11.00;Fremstilling af elektroniske komponenter
26.12.00;Fremstilling af printplader o.lign.
26.20.00;Fremstilling af computere og ydre enheder
26.30.00;Fremstilling af kommunikationsudstyr
26.40.00;Fremstilling af elektronik til husholdninger
26.51.00;Fremstilling af instrumenter og udstyr til måling, afprøvning og navigation
26.52.00;Fremstilling af ure
26.60.10;Fremstilling af høreapparater og dele hertil
26.60.90;Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr
26.70.00;Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr
27.11.00;Fremstilling af elektriske motorer, generatorer og transformatorer
27.12.00;Fremstilling af elektriske fordelings- og kontrolapparater
27.20.00;Fremstilling af batterier og akkumulatorer
27.31.00;Fremstilling af lyslederkabler
27.32.00;Fremstilling af andre elektroniske og elektriske ledninger og kabler
27.33.00;Fremstilling af tilbehør til ledninger og kabler
27.40.00;Fremstilling af belysningsartikler
27.51.00;Fremstilling af elektriske husholdningsapparater
27.52.00;Fremstilling af ikke-elektriske husholdningsapparater
27.90.00;Fremstilling af andet elektrisk udstyr
28.11.00;Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter
28.12.00;Fremstilling af hydraulisk udstyr
28.13.00;Fremstilling af andre pumper og kompressorer
28.14.00;Fremstilling af andre haner og ventiler
28.15.00;Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer
28.21.00;Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning
28.22.00;Fremstilling af løfte- og håndteringsudstyr
28.23.00;Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder
28.24.00;Fremstilling af motordrevet håndværktøj
28.25.00;Fremstilling af klimaanlæg, ikke til husholdningsbrug
28.29.00;Fremstilling af andre maskiner til generelle formål i.a.n.
28.30.00;Fremstilling af landbrugs- og skovbrugsmaskiner
28.41.00;Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal
28.42.00;Fremstilling af andet maskinværktøj
28.91.00;Fremstilling af maskiner til metallurgi
28.92.00;Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg
28.93.00;Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien
28.94.00;Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder
28.95.00;Fremstilling af maskiner til produktion af papir og pap
28.96.00;Fremstilling af maskiner til produktion af plast og gummi
28.97.00;Fremstilling af maskiner til additiv fremstilling
28.99.00;Fremstilling af andre maskiner til specielle formål i.a.n.
29.10.00;Fremstilling af motorkøretøjer
29.20.00;"Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne"
29.31.00;Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
29.32.00;Fremstilling af andre dele og tilbehør til motorkøretøjer
30.11.00;Bygning af civile skibe og flydende materiel
30.12.00;Bygning af både til fritid og sport
30.13.00;Bygning af militærfartøjer
30.20.00;Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje
30.31.00;Fremstilling af civile luft- og rumfartøjer o.lign.
30.32.00;Fremstilling af militære luft- og rumfartøjer o.lign.
30.40.00;Fremstilling af militære kampkøretøjer
30.91.00;Fremstilling af motorcykler
30.92.00;Fremstilling af cykler og kørestole
30.99.00;Fremstilling af andre transportmidler i.a.n.
31.00.00;Fremstilling af møbler
32.11.00;Prægning af mønter
32.12.00;Fremstilling af smykker og lignende varer
32.13.00;Fremstilling af bijouteri og lignende varer
32.20.00;Fremstilling af musikinstrumenter
32.30.00;Fremstilling af sportsudstyr
32.40.00;Fremstilling af spil og legetøj
32.50.00;Fremstilling af medicinske og dentale instrumenter samt udstyr hertil
32.91.00;Fremstilling af koste og børster
32.99.00;Andre fremstillingsaktiviteter i.a.n.
33.11.00;Reparation og vedligeholdelse af færdige metalprodukter
33.12.00;Reparation og vedligeholdelse af maskiner
33.13.00;Reparation og vedligeholdelse af elektronisk og optisk udstyr
33.14.00;Reparation og vedligeholdelse af elektrisk udstyr
33.15.00;Reparation og vedligeholdelse af civile skibe og både
33.16.00;Reparation og vedligeholdelse af civile luft- og rumfartøjer
33.17.00;Reparation og vedligeholdelse af andre civile transportmidler
33.18.00;Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer
33.19.00;Reparation og vedligeholdelse af andet udstyr
33.20.00;Installation af industrimaskiner og -udstyr
35.11.00;Produktion af elektricitet fra ikke-vedvarende energikilder
35.12.00;Produktion af elektricitet fra vedvarende energikilder
35.13.00;Transmission af elektricitet
35.14.00;Distribution af elektricitet
35.15.10;Handel med elektricitet via ladestationer o. lign.
35.15.90;Anden handel med elektricitet
35.16.00;Lagring af elektricitet
35.21.00;Produktion af gas
35.22.00;Distribution af gas
35.23.00;Handel med gas gennem rørledninger
35.24.00;Oplagring af gas i forbindelse med drift af forsyningsnet
35.30.00;Fjernvarmeforsyning
35.40.00;Mægler- og agentaktiviteter i forbindelse med forsyning af elektricitet og naturgas
36.00.00;Vandforsyning
37.00.00;Opsamling og behandling af spildevand
38.11.00;Indsamling af ikke-farligt affald
38.12.00;Indsamling af farligt affald
38.21.00;Genindvinding af materialer
38.22.00;Energiudnyttelse af affald
38.23.00;Anden nyttiggørelse af affald
38.31.00;Forbrænding uden energiudnyttelse
38.32.00;Deponering eller permanent oplagring
38.33.00;Anden bortskaffelse af affald
39.00.00;Rensning af jord og grundvand og anden dekontaminering
41.00.00;Opførelse af bygninger
42.11.00;Anlæg af veje og motorveje
42.12.00;Anlæg af jernbaner og undergrundsbaner
42.13.00;Anlæg af broer og tunneller
42.21.00;Anlæg af ledningsnet til væsker
42.22.00;Anlæg af ledningsnet til elektricitet og telekommunikation
42.91.00;Anlæg af vandveje, havne, diger, dæmninger mv.
42.99.00;Andre anlægsaktiviteter i.a.n.
43.11.00;Nedrivning
43.12.00;Forberedende byggepladsarbejder
43.13.00;Funderingsundersøgelser
43.21.00;El-installation
43.22.00;Installation af vvs-, varme- og klimaanlæg
43.23.00;Installation af isolering
43.24.00;Andre bygningsinstallationsaktiviteter
43.31.00;Stukkatøraktiviteter
43.32.00;Tømrer- og bygningssnedkeraktiviteter
43.33.00;Udførelse af gulvbelægninger og vægbeklædning
43.34.10;Maleraktiviteter
43.34.20;Glarmesteraktiviteter
43.35.00;Anden bygningsfærdiggørelse
43.41.00;Tagdækningsaktiviteter
43.42.00;Andre specialiserede bygningsarbejder
43.50.00;Specialiserede anlægsaktiviteter
43.60.00;Formidlingsaktiviteter i forbindelse med specialiserede bygge- og anlægsarbejder
43.91.00;Murerarbejde
43.99.00;Andre specialiserede byggeaktiviteter i.a.n.
46.11.00;Agenturhandel med landbrugsråvarer, levende dyr, tekstilråvarer og halvfabrikata
46.12.00;Agenturhandel med brændstoffer, malme, metaller og kemiske produkter til industrien
46.13.00;Agenturhandel med tømmer og andre byggematerialer
46.14.00;Agenturhandel med maskiner, teknisk udstyr, skibe og flyvemaskiner
46.15.00;Agenturhandel med møbler, husholdningsartikler og isenkram
46.16.00;Agenturhandel med tekstiler, beklædning, pelsværk, fodtøj og lædervarer
46.17.10;Fiskeauktioner
46.17.90;Anden agenturhandel med føde-, drikke- og tobaksvarer
46.18.10;Agenturhandel med motorcykler, biler, busser og trailere mv.
46.18.90;Agenturhandel med specialiseret varesortiment, bortset fra køretøjer
46.19.00;Agenturhandel med ikke-specialiseret varesortiment
46.21.00;Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer
46.22.00;Engroshandel med blomster og planter
46.23.00;Engroshandel med levende dyr
46.24.00;Engroshandel med huder, skind og læder
46.31.00;Engroshandel med frugt og grøntsager
46.32.10;Engroshandel med kød og kødprodukter
46.32.20;Engroshandel med fisk og fiskeprodukter
46.33.00;Engroshandel med mejeriprodukter, æg samt spiselige olier og fedtstoffer
46.34.10;Engroshandel med øl, mineralvand, frugt- og grøntsagssaft
46.34.20;Engroshandel med vin og spiritus
46.35.00;Engroshandel med tobaksvarer
46.36.00;Engroshandel med sukker, chokolade og sukkervarer
46.37.00;Engroshandel med kaffe, te, kakao og krydderier
46.38.00;Engroshandel med andre fødevarer
