BRANCHEKODE;NACE_TITEL_DK
46.39.00;Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer
46.41.00;Engroshandel med tekstiler
46.42.10;Engroshandel med beklædning
46.42.20;Engroshandel med fodtøj
46.43.10;Engroshandel med hvidevarer og elektriske husholdningsartikler
46.43.20;Engroshandel med radio og tv, fotografiske og optiske artikler
46.44.10;Engroshandel med porcelæns- og glasvarer
46.44.20;Engroshandel med rengøringsmidler
46.45.00;Engroshandel med parfumerivarer og kosmetik
46.46.10;Engroshandel med medicinalvarer og sygeplejeartikler
46.46.20;Engroshandel med læge- og hospitalsartikler
46.47.00;Engroshandel med møbler til bolig-, kontor- og butiksbrug, tæpper og belysningsartikler
46.48.00;Engroshandel med ure og smykker
46.49.10;Engroshandel med cykler, sportsartikler og lystbåde
46.49.20;Engroshandel med bøger, papir og papirvarer
46.49.30;Engroshandel med kufferter og lædervarer
46.49.90;Engroshandel med andre husholdningsartikler i.a.n.
46.50.00;Engroshandel med informations- og kommunikationsudstyr
46.61.00;Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil
46.62.00;Engroshandel med værktøjsmaskiner
46.63.00;Engroshandel med maskiner til minedrift og bygge- og anlægsaktiviteter
46.64.00;Engroshandel med andre maskiner og andet udstyr
46.71.00;Engroshandel med motorkøretøjer
46.72.00;Engroshandel med reservedele og tilbehør til motorkøretøjer
46.73.00;Engroshandel med motorcykler samt reservedele og tilbehør dertil
46.81.00;Engroshandel med fast, flydende og luftformigt brændstof og lignende varer
46.82.00;Engroshandel med metaller og metalmalme
46.83.00;Engroshandel med træ og byggematerialer samt sanitetsartikler
46.84.00;Engroshandel med isenkram, varmeanlæg og tilbehør
46.85.00;Engroshandel med kemiske produkter
46.86.00;Engroshandel med andre råvarer og halvfabrikata
46.87.00;Engroshandel med affaldsprodukter
46.89.00;Anden specialiseret engroshandel i.a.n.
46.90.00;Ikke-specialiseret engroshandel
47.11.10;Detailhandel med kioskvarer
47.11.20;Detailhandel med dagligvarer i supermarkeder og købmandsbutikker
47.11.30;Detailhandel med dagligvarer i discountsupermarkeder
47.12.00;Anden ikke-specialiseret detailhandel
47.21.00;Detailhandel med frugt og grøntsager
47.22.00;Detailhandel med kød og kødprodukter
47.23.00;Detailhandel med fisk, krebsdyr og bløddyr
47.24.00;Detailhandel med bagværk og konfekture
47.25.00;Detailhandel med drikkevarer
47.26.00;Detailhandel med tobaksvarer
47.27.00;Detailhandel med andre fødevarer
47.30.00;Detailhandel med motorbrændstoffer
47.40.00;Detailhandel med informations- og kommunikationsudstyr
47.51.00;Detailhandel med tekstiler
47.52.10;Detailhandel med maling og tapet
47.52.20;Detailhandel med byggematerialer og værktøj
47.53.00;Detailhandel med tæpper, vægbeklædning og gulvbelægning
47.54.00;Detailhandel med elektriske husholdningsapparater
47.55.10;Detailhandel med møbler
47.55.20;Detailhandel med bad- og køkkenelementer mv.
47.55.30;Detailhandel med køkkenudstyr og service mv.
47.55.90;Detailhandel med boligtekstiler, belysnings- og husholdningsartikler i.a.n.
47.61.00;Detailhandel med bøger
47.62.00;Detailhandel med aviser og andre tidsskrifter samt kontorartikler
47.63.10;Detailhandel med sports- og fritidsudstyr
47.63.20;Detailhandel med cykler
47.63.30;Detailhandel med lystbåde og udstyr hertil
47.64.00;Detailhandel med spil og legetøj
47.69.10;Detailhandel med musikinstrumenter
47.69.20;Detailhandel med kunst mv.
47.69.90;Detailhandel med andre kulturelle artikler i.a.n
47.71.10;Detailhandel med tøj
47.71.20;Detailhandel med baby- og børnetøj
47.72.10;Detailhandel med fodtøj
47.72.20;Detailhandel med lædervarer
47.73.00;Detailhandel med farmaceutiske produkter
47.74.10;Optikeraktiviteter
47.74.20;Detailhandel med andre medicinske og ortopædiske artikler
47.75.00;Detailhandel med kosmetikvarer og toiletartikler
47.76.10;Detailhandel med blomster og planter
47.76.20;Detailhandel med kæledyr og udstyr til kæledyr
47.77.00;Detailhandel med ure og smykker
47.78.00;Detailhandel med andre nye varer
47.79.00;Detailhandel med brugte varer
47.81.00;Detailhandel med motorkøretøjer
47.82.00;Detailhandel med reservedele og tilbehør til motorkøretøjer
47.83.00;Detailhandel med motorcykler samt reservedele og tilbehør dertil
47.91.00;Formidlingsaktiviteter inden for ikke-specialiseret detailhandel
47.92.00;Formidlingsaktiviteter inden for specialiseret detailhandel
49.11.00;Persontransport med regional- eller fjerntog
49.12.00;Persontransport med nærbane
49.20.00;Godstransport med tog
49.31.00;Passagertransport ad vej med fast køreplan
49.32.00;Passagertransport ad vej uden fast køreplan
49.33.00;Passagertransport på bestilling i køretøj med chauffør
49.34.00;Passagertransport med tovbaner og skilifter
49.39.00;Anden landpassagertransport i.a.n.
49.41.00;Vejgodstransport
49.42.00;Flytteaktiviteter
49.50.00;Rørtransport
50.10.00;Sø- og kysttransport af passagerer
50.20.00;Sø- og kysttransport af gods
50.30.00;Transport af passagerer ad indre vandveje
50.40.00;Transport af gods ad indre vandveje
51.10.10;Passagertransport med rutefly
51.10.20;Passagertransport med charter- og taxifly
51.21.00;Lufttransport af gods
51.22.00;Rumfart
52.10.00;Oplagring og opbevaring
52.21.10;Drift af stationer, godsterminaler mv.
52.21.20;Drift af parkering og vejhjælp mv.
52.21.30;Drift af betalingsveje, -broer og -tunneler
52.22.10;Drift af erhvervshavne
52.22.20;Drift af bugserings-, bjærgnings- og redningsvæsen mv.
52.23.00;Serviceydelser i forbindelse med luftfart
52.24.00;Godshåndtering
52.25.00;Serviceydelser i forbindelse med logistik
52.26.00;Andre støtteaktiviteter i forbindelse med transport
52.31.00;Formidlingsaktiviteter inden for godstransport
52.32.00;Formidlingsaktiviteter inden for passagertransport
53.10.00;Postaktiviteter omfattet af forsyningspligten
53.20.00;Andre post- og kuréraktiviteter
53.30.00;Formidlingsaktiviteter inden for post- og kuréraktiviteter
55.10.00;Drift af hoteller og lignende overnatningsfaciliteter
55.20.00;Drift af ferieboliger og andre overnatningsfaciliteter til kortvarige ophold
55.30.00;Drift af campingpladser
55.40.00;Formidlingsaktiviteter inden for overnatningsfaciliteter
55.90.00;Andre overnatningsfaciliteter
56.11.10;Servering af mad i restauranter og caféer
56.11.90;Drift af øvrige spisesteder
56.12.00;Drift af mobile madboder
56.21.00;Event catering
56.22.00;Catering på kontrakt og andre restaurationsaktiviteter
56.30.10;Udskænkning af ikke-alkoholiske drikkevarer
56.30.20;Udskænkning af alkoholiske drikkevarer
56.40.00;Formidlingsaktiviteter i forbindelse med restaurationsaktiviteter
58.11.00;Udgivelse af bøger
58.12.00;Udgivelse af aviser og dagblade
58.13.00;Udgivelse af ugeblade og magasiner
58.19.00;Andre udgiveraktiviteter, undtagen udgivelse af software
58.21.00;Udgivelse af videospil
58.29.00;Anden udgivelse af software
59.11.00;Produktion af film, videoer og TV-programmer
59.12.00;Aktiviteter efter produktion af film, videoer og TV-programmer
59.13.00;Distribution af film og videoer
59.14.00;Fremvisning af film og andre billedmedier
59.20.00;Indspilning af lydoptagelser og udgivelse af musik
60.10.00;Radioaktiviteter og distribution af lydoptagelser
60.20.00;Programskabelse, udgivelse og distribution af billedoptagelser
60.31.00;Nyhedsbureauers aktiviteter
60.39.00;Anden distribution af medieindhold
61.10.00;Levering af fastnetbaseret, trådløs og satellitbaseret telekommunikation
61.20.00;Videresalg af telekommunikation og formidlingsaktiviteter inden for telekommunikation
61.90.00;Andre telekommunikationsaktiviteter
62.10.00;Computerprogrammering
62.20.00;Computerkonsulentbistand og forvaltning af computerfaciliteter
62.90.00;Andre IT- og computerserviceaktiviteter
63.10.00;IT-infrastruktur, databehandling, hosting og relaterede aktiviteter
63.91.00;Drift af portaler til internettet
63.92.00;Andre informationsaktiviteter
64.11.00;Centralbankers aktiviteter
64.19.00;Andre pengeinstitutters aktiviteter
64.21.10;Finansielle holdingselskaber
64.21.20;Ikke-finansielle holdingselskaber
64.21.30;Gennemløbsholdingselskaber
64.22.00;Finansielle conduiters aktiviteter
64.31.10;Pengemarkedsfondes aktiviteter
64.31.20;Andre investeringsfondes aktiviteter
64.32.00;Trusters aktiviteter
64.91.00;Finansiel leasing
64.92.10;Realkreditinstitutters aktiviteter
64.92.20;Andre kreditinstitutters aktiviteter
64.92.30;Andre kreditselskabers aktiviteter
64.99.10;Investering for egen regning
64.99.90;Anden finansiel formidling i.a.n.
65.11.00;Livsforsikring
65.12.00;Anden forsikring
65.20.00;Genforsikring
65.30.10;Pensionskassers aktiviteter
65.30.20;Anden pensionsforsikring
66.11.00;Forvaltning af kapitalmarkeder
66.12.00;Værdipapir- og varemægling
66.19.00;Andre aktiviteter i forbindelse med finansielle tjenesteydelser, undtagen forsikring og pensionsforsikring
66.21.00;Risiko- og skadesvurdering
66.22.00;Forsikringsagenters og forsikringsmægleres aktiviteter
66.29.00;Aktiviteter i forbindelse med forsikring og pensionsforsikring i.a.n.
66.30.00;Formueforvaltning
68.11.00;Køb og salg af egen fast ejendom
68.12.00;Gennemførelse af byggeprojekter
68.20.10;Udlejning af almennyttige boliger
68.20.20;Udlejning af private andelsboliger
68.20.30;Anden udlejning af boliger
68.20.40;Udlejning af erhvervsejendomme
68.31.10;Ejendomsmægleres aktiviteter
68.31.20;Boliganvisning
68.32.10;Administration af fast ejendom på kontraktbasis
68.32.20;Drift af ejerforeninger
69.10.00;Juridiske aktiviteter
69.20.00;"Bogføring og revision; skatterådgivning"
70.10.10;Ikke-finansielle hovedsæders aktiviteter
70.10.20;Finansielle hovedsæders aktiviteter
70.20.00;Virksomhedsrådgivning og anden ledelsesrådgivning
71.11.00;Arkitektaktiviteter
71.12.10;Rådgivende ingeniøraktiviteter inden for byggeri og anlægsarbejder
71.12.20;Rådgivende ingeniøraktiviteter inden for produktions- og maskinteknik
71.12.30;Rådgivende ingeniøraktiviteter inden for færdige fabriksanlæg
71.12.40;Geologiske undersøgelser og prospektering, landinspektører mv.
71.12.90;Anden teknisk rådgivning
71.20.10;Kontrol af levnedsmidler
71.20.20;Teknisk afprøvning og kontrol
71.20.90;Anden måling og teknisk analyse
72.10.00;Forskning og eksperimentel udvikling inden for naturvidenskab og teknik
72.20.00;Forskning og eksperimentel udvikling inden for samfundsvidenskab og humanistiske videnskaber
73.11.10;Planlægning og design af reklamekampagner
73.11.90;Andre reklameaktiviteter
73.12.00;Indrykning af reklamer i medier
73.20.00;Markedsanalyse og offentlig meningsmåling
73.30.00;Public relations og kommunikation
74.11.00;Industrielt design og modedesign
74.12.00;Grafisk design og visuel kommunikation
74.13.00;Indretningsaktiviteter
74.14.00;Andet specialiseret designarbejde
74.20.00;Fotografiske aktiviteter
74.30.00;Oversættelse og tolkning
74.91.00;Patentbureauers aktiviteter og tjenesteydelser i forbindelse med markedsføring
74.99.10;Landbrugskonsulenters aktiviteter
74.99.90;Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.
75.00.00;Dyrlægeaktiviteter
77.11.00;Udlejning og leasing af biler og lette motorkøretøjer
77.12.00;Udlejning og leasing af lastbiler
77.21.00;Udlejning og leasing af varer til fritid og sport
77.22.00;Udlejning og leasing af andre varer til personlig brug og husholdningsbrug
77.31.00;Udlejning og leasing af landbrugsmaskiner og -udstyr
77.32.00;Udlejning og leasing af entreprenørmateriel
77.33.00;Udlejning og leasing af kontormaskiner og -udstyr og computere
77.34.00;Udlejning og leasing af skibe og både
77.35.00;Udlejning og leasing af luftfartøjer
77.39.10;Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver til events
77.39.90;Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver, bortset fra til events
77.40.00;Leasing af intellektuelle ejendomsrettigheder og lignende produkter, dog ikke ophavsretsbeskyttede værker
77.51.00;Formidlingsaktiviteter inden for udlejning og leasing af biler, autocampere og påhængsvogne
77.52.00;Formidlingsaktiviteter inden for udlejning og leasing af andre materielle aktiver og ikke-finansielle immaterielle aktiver
78.10.00;Arbejdsformidlingskontorers aktiviteter
78.20.00;Vikarbureauers aktiviteter og anden personaleformidling
79.11.00;Rejsebureauers aktiviteter
79.12.00;Rejsearrangørers aktiviteter
79.90.00;Andre reservationstjenesteydelser og tjenesteydelser i forbindelse hermed
80.01.00;Efterforskning og private vagt- og sikkerhedsaktiviteter
80.09.00;Vagt- og sikkerhedsaktiviteter i.a.n.
81.10.00;Levering af kombinerede hjælpetjenester i forbindelse med drift af fast ejendom
81.21.00;Almindelig rengøring i bygninger
81.22.10;Vinduespolering
81.22.20;Skorstensfejning
81.22.90;Anden rengøring af bygninger og rengøring af erhvervslokaler i.a.n. 
81.23.00;Anden rengøring
81.30.00;Landskabspleje
82.10.00;Administrations- og kontorserviceaktiviteter
82.20.00;Drift af callcentre
82.30.00;Organisering af kongresser, messer og udstillinger
82.40.00;Formidlingsaktiviteter inden for forretningsservice i.a.n.
82.91.00;Inkassoaktiviteter og kreditoplysning
82.92.00;Pakkeriaktiviteter
82.99.00;Andre forretningsserviceaktiviteter i.a.n.
84.11.00;Generelle offentlige forvaltningsaktiviteter
84.12.00;Administration af sundhedsvæsen, undervisning, kultur og sociale forhold
84.13.00;Administration af og bidrag til erhvervsfremme
84.21.00;Udenrigsanliggender
84.22.00;Aktiviteter inden for forsvar
84.23.00;Aktiviteter inden for retsvæsen
84.24.00;Aktiviteter inden for offentlig sikkerhed og orden
84.25.00;Aktiviteter inden for brandvæsen
84.30.00;Aktiviteter inden for lovpligtig socialsikring
85.10.00;Førskoleundervisning
85.20.10;Undervisning på almene grundskoler
85.20.20;Undervisning på specialskoler for børn med funktionsnedsættelser
85.31.10;Undervisning på ungdoms- og efterskoler
85.31.20;Undervisning på gymnasier, studenter- og HF-kurser
85.32.00;Undervisning på erhvervsfaglige skoler
85.33.00;Videregående uddannelse, ikke på universitetsniveau
85.40.00;Videregående uddannelse på universitetsniveau
85.51.00;Undervisning inden for sport og fritid
85.52.00;Undervisning i kulturelle discipliner
85.53.00;Drift af køreskoler
85.59.00;Anden undervisning i.a.n.
85.61.00;Formidlingsaktiviteter i forbindelse med kurser og undervisere
85.69.00;Levering af hjælpeydelser i forbindelse med undervisning i.a.n.
86.10.00;Aktiviteter inden for hospitalsvæsen
86.21.00;Alment praktiserende lægers aktiviteter
86.22.00;Speciallægers aktiviteter
86.23.00;Tandlægers aktiviteter
86.91.00;Billeddiagnostiske undersøgelser og medicinske laboratorieaktiviteter
86.92.00;Patienttransport med ambulance
86.93.00;Psykologisk og psykoterapeutisk rådgivning
86.94.00;Sundhedspleje, hjemmesygepleje, jordemoderaktiviteter mv.
86.95.00;Fysio- og ergoterapi
86.96.00;Traditionelle, komplementære og alternative behandlingsformer
86.97.00;Formidlingsaktiviteter inden for læge- og tandlægeaktiviteter samt sundhedsvæsen i øvrigt
86.99.00;Drift af sundhedsvæsen i øvrigt i.a.n.
87.10.10;Drift af plejehjem
87.10.20;Institutionsophold med sygepleje i.a.n.
87.20.10;Drift af døgninstitutioner for personer med psykiske handicap
87.20.20;Drift af behandlingshjem for stofmisbrugere og alkoholskadede
87.30.10;Drift af døgninstitutioner for personer med fysisk handicap
87.30.20;Drift af beskyttede boliger o. lign.
87.91.00;Formidlingsaktiviteter i forbindelse med institutionsophold
87.99.10;Drift af døgninstitutioner for børn og unge
87.99.20;Familiepleje
87.99.30;Drift af flygtninge- og asylcentre
87.99.90;Drift af andre former for institutionsophold
88.10.10;Drift af hjemmehjælp
88.10.20;Drift af dagcentre mv.
88.10.30;Drift af revalideringsinstitutioner
88.91.10;Drift af dagpleje
88.91.20;Drift af vuggestuer
88.91.30;Drift af børnehaver
88.91.40;Drift af skolefritidsordninger og fritidshjem
88.91.50;Drift af aldersintegrerede institutioner
88.91.60;Drift af fritids- og ungdomsklubber
88.99.10;Støtteaktiviteter relateret til sygdomsbekæmpende, sociale og velgørende formål
88.99.20;Aktiviteter til støtte for flygtninge- og katastrofeofre mv.
88.99.90;Andre sociale støtte- og rådgivningsaktiviteter uden institutionsophold
90.11.00;Litteratur- og musikkomposition
90.12.00;Billedkunstnerisk skaben
90.13.00;Anden kunstnerisk skaben
90.20.10;Teater- og koncertproduktioner
90.20.20;Selvstændigt udøvende scenekunstnere
90.31.00;Drift af teater- og koncertsale, kulturhuse mv.
90.39.10;Teknisk planlægning, levering, opsætning og betjening af udstyr til events
90.39.20;Levering af andre serviceydelser i forbindelse med kunstnerisk skaben og scenekunst i.a.n.
91.11.00;Biblioteksaktiviteter
91.12.00;Arkivaktiviteter
91.21.00;Museumsaktiviteter og aktiviteter i forbindelse med samlinger
91.22.00;Drift og bevarelse af fortidsminder, mindesmærker mv.
91.30.00;Konservering, restaurering og andre serviceydelser inden for kulturarv
91.41.00;Drift af botaniske og zoologiske haver
91.42.00;Drift af naturreservater
92.00.00;Lotteri- og andre spilleaktiviteter
93.11.00;Drift af sportsanlæg
93.12.00;Drift af sportsklubber
93.13.00;Drift af fitnesscentre
93.19.00;Sportsaktiviteter i.a.n.
93.21.00;Drift af forlystelsesparker o.lign.
93.29.10;Drift af lystbådehavne
93.29.90;Drift af andre forlystelser og fritidsaktiviteter
94.11.00;Erhvervs- og arbejdsgiverorganisationers aktiviteter
94.12.00;Faglige sammenslutningers aktiviteter
94.20.00;Fagforeningers aktiviteter
94.91.00;Religiøse institutioners og foreningers aktiviteter
94.92.00;Politiske partiers aktiviteter
94.99.00;Andre organisationers og foreningers aktiviteter i.a.n.
95.10.00;Reparation og vedligeholdelse af computere og kommunikationsudstyr
95.21.00;Reparation og vedligeholdelse af forbrugerelektronik
95.22.00;Reparation og vedligeholdelse af husholdningsapparater og redskaber til hus og have
95.23.00;Reparation og vedligeholdelse af fodtøj og lædervarer
95.24.00;Reparation og vedligeholdelse af møbler og boligudstyr
95.25.00;Reparation og vedligeholdelse af ure og smykker
95.29.00;Reparation og vedligeholdelse af varer til personlig brug og husholdningsbrug i.a.n.
95.31.10;Dækservice
95.31.20;Reparation og lakering af karosseri samt undervognsbehandling
95.31.90;Reparation og vedligeholdelse af motorkøretøjer i.a.n.
95.32.00;Reparation og vedligeholdelse af motorcykler
95.40.00;Formidlingsaktiviteter i forbindelse med reparation og vedligeholdelse af computere, varer til personlig brug og husholdningsbrug samt motorkøretøjer og motorcykler
96.10.10;Drift af erhvervs- og institutionsvaskerier
96.10.20;Drift af renserier og selvbetjeningsvaskerier mv.
96.21.00;Drift af frisør- og barbersaloner
96.22.00;Skønhedspleje og anden skønhedsbehandling
96.23.00;Drift af dagspa, saunaer og dampbade
96.30.00;Drift af bedemandsforretninger og begravelsesvæsen
96.40.00;Formidlingsaktiviteter inden for personlige serviceydelser
96.91.00;Levering af personlige serviceydelser i hjemmet
96.99.00;Andre personlige serviceydelser i.a.n.
97.00.00;Aktiviteter i husholdninger med ansat medhjælp
98.10.00;Private husholdningers produktion af udifferentierede varer til eget brug
98.20.00;Private husholdningers produktion af udifferentierede tjenesteydelser til eget brug
99.00.10;Ambassaders eksterritoriale aktivitet
99.00.20;Andre eksterritoriale organisationers og organers aktiviteter


